week,sales_method,customer_id,nb_sold,revenue,years_as_customer,nb_site_visits,state
5,Call,564779ce-35c5-4d50-b78b-7e7c21869c09,10,52.15,3,27,Virginia
2,Call,9466aca7-ccd7-4be0-85da-a22d301fd5c5,9,43.01,7,29,Florida
5,Email,027f0947-4c19-4bf4-a5f4-150f9deae826,10,NA,1,32,New Mexico
3,Email,0fe31def-6ac2-4559-ba9a-23d65078eabf,9,86.51,3,25,California
1,Email,d6945318-f8a5-4081-a498-89ce910df78e,8,84.23,3,23,Arkansas
5,Call,98c366d5-7f3c-4392-b51d-5ef377db6e5c,11,53.9,10,23,Tennessee
5,Email,ea1b89bc-e0f2-4e9c-ad17-ce98431eddd9,10,104.16,2,27,Kansas
1,Email,a46ed8d0-f927-4fa8-a1db-19108a236abe,10,95.02,4,24,California
5,Email,10246746-cc63-4caf-beea-14d57cbd7d8d,10,103.87,0,22,Pennsylvania
6,Call,fd171930-b58b-4c80-a491-76949f6014e2,13,65.24,1,28,Alaska
4,Email,ba27c0b1-3075-40fe-8d73-c3e285e3d21c,11,105.56,6,22,Colorado
5,Email + Call,6c62ab37-84d9-40ac-af7e-572bc906de64,13,188.87,0,26,Texas
3,Email,e5acd291-0606-4224-98dd-1d0cbdb0e51b,10,98.28,8,25,New York
3,Call,500a0ca6-eded-43b2-b405-317b7212a686,8,40.75,1,21,Pennsylvania
5,Call,c70ac7cb-5a21-4b7b-b816-cc0dcf390a53,10,50.48,2,26,Maryland
3,Email,d40664b0-f02b-47e2-bdfb-f8e44644d044,9,88.56,5,30,Arkansas
5,Call,3bf1844c-ecb6-4a39-b8ef-e5de480e2fcc,11,54.33,5,30,Illinois
1,Call,1fb01895-8ae6-4ab2-bb41-809ec7062c1b,7,34.98,1,20,New York
2,Call,9cb56764-e7bc-4cd8-b891-9136cf1e25e4,9,44.3,0,24,Oregon
2,Email,86c87035-27b5-4bba-b861-34868358f93e,10,95.24,7,27,New Hampshire
1,Email,c8994f7c-2a11-4d5b-aa4b-cecc2c04a718,9,89.56,2,22,Arkansas
1,Email,e5a3031f-a239-49a3-a157-870b58b458ac,9,86.9,2,18,Oklahoma
5,Call,dcf1d6bc-4015-4edb-8b5a-d5e8b6f37470,11,53.14,1,26,Tennessee
5,Call,9f586d7b-2ba5-45ec-8e90-053643ba5d10,11,55.07,15,28,New York
2,Email,7c51acc8-fc18-46b0-a343-0708bf2d2ced,11,105.92,2,21,Florida
1,Email,97014ed7-befe-4508-bd2b-71bd6af19e37,8,82.72,14,20,Wisconsin
4,Email,ad7781dd-f6a6-4418-ad08-8f96b305de49,11,106.51,1,27,Tennessee
3,Call,d284001d-8179-4212-9d6d-fa445e8095c1,8,41.25,7,19,Texas
1,Email,8c91bfaa-c8c5-48f2-ab21-974a15cd9c1e,9,89.01,5,23,New York
3,Call,3c97cc49-939b-4035-beee-9d9cdc4c41b6,8,40.76,3,20,Ohio
4,Email,f57fcf83-e103-4c21-a110-e943c77a0a03,11,109.52,7,20,California
2,Call,25ba0890-1ca2-4821-916b-e659555b1266,9,45.58,19,24,Kansas
5,Email,0e8e3182-292f-490a-bec5-f67969f73a7e,10,102.82,6,25,New Jersey
5,Call,b494929e-92ac-4b49-9bfa-f9b82cb65408,10,52.44,10,29,Connecticut
5,Call,63cbc09a-6345-49e1-a96e-8de7839d5b88,11,53.25,1,21,Iowa
1,Email,761e10d0-db9f-4430-a237-69d6e4e933e6,9,88.07,2,28,Texas
3,Call,a27b94b1-bbad-4d03-8978-1f120df7f4c1,8,41.06,1,25,Illinois
3,Email,08503967-54f0-4269-9193-96677fe883cd,9,91.53,10,28,Tennessee
1,Email,78ba2f7d-da5b-4d51-b02e-d91375927056,8,84.77,5,22,Kansas
2,Call,c84466f3-3e47-453c-b9f5-65428fd81aab,9,46.41,3,26,Montana
5,Email,d42b0e9b-8e2f-4c4e-b94e-cf5db08adc7a,11,107.12,10,35,Georgia
5,Email,eb9cfaf4-7f4e-4b76-8028-bec21f5bb3f9,10,104.46,14,18,Maryland
2,Call,7f2244c1-bf0b-4afc-8b43-206a087633d9,10,48.98,1,27,California
6,Email + Call,9a39d6f6-ef55-4812-ad9d-0016d6285ff7,15,229.36,3,29,Georgia
2,Email + Call,adc06513-5b96-4464-800c-e4accef0f171,10,153.87,5,32,Oregon
4,Call,0d7104e0-a930-4100-9b51-3746a3449403,11,52.54,3,23,Texas
4,Email,60a2b518-0f48-4643-b039-14a813269609,11,113.84,1,24,California
4,Call,c11f3e76-4f1a-4184-994c-4a43efd8f76f,10,51.35,17,27,California
5,Email,f0078065-6827-4be2-ac96-827312e5d7f8,11,105.44,4,22,Illinois
5,Call,51b46c10-bf32-4e16-bdb2-19546d28ef70,10,52.44,10,29,Arkansas
1,Call,a1651d36-f88a-4535-882b-40f132bd72a0,7,33.63,3,16,Connecticut
1,Email,f1a7d98f-10ee-4850-b75c-79ed68eca614,8,82.94,14,19,North Carolina
1,Email,44c29720-c815-4bff-bcf6-8182912c3c74,8,83.71,4,29,Washington
2,Email,6ffdca0f-8054-4d1f-99cb-5b510a1e57cf,10,100.38,2,28,New Jersey
5,Email + Call,cf11385c-a004-45b2-ba8f-3003c32184d5,12,186.27,3,22,Michigan
4,Email,dbc09910-d723-4e02-9a63-945c137c4080,11,107.1,3,22,Tennessee
1,Email,172fcd47-62ac-4976-bac7-6934464a8c5c,8,81.98,0,23,Arizona
4,Call,750b0907-f87d-4c4e-95bf-de9952fb22c1,11,53.08,5,27,Kentucky
4,Call,8185cdfd-0b66-4ea3-aa77-c9e4d64f2b52,10,51.82,0,27,Ohio
5,Email + Call,b70489e0-d3d4-494d-b4c9-fa7f71ba4b21,12,185.65,1,27,Michigan
6,Email + Call,9cdb45ba-c27a-4a32-9dae-108e5a6d5140,15,225.11,4,30,New York
2,Email,222f6925-0171-4679-ad8b-1094e90c5b23,10,102.27,4,25,Alabama
5,Call,e0d1edb6-61d1-4134-bdc5-a5119a241aa7,10,51.57,4,18,Michigan
4,Email + Call,3b2f00be-2f8d-4668-b7ad-59df258a7b5c,12,180.18,1,27,California
5,Email + Call,afe159a3-8e06-4413-81fa-f43bbfae86ed,12,185.41,3,28,Texas
3,Email,f3a75b8e-5bf8-4138-a803-2ced9b87eda1,9,93.4,8,22,Nebraska
1,Email,c37f8d09-e727-4e6a-8ba4-356da91edecd,9,91.94,5,24,Arizona
2,Call,79fb22a2-2e36-470a-86e7-890067304d78,9,42.62,1,21,Texas
6,Call,31e8bb4e-696f-4ef8-a5fc-cda74be17c33,14,68.64,3,27,Maryland
3,Email,29895ef8-9b50-4422-8a18-598efedb3803,11,NA,6,31,Texas
1,Email,7e58da71-f750-4494-af5a-93283d50f6b2,9,93.06,8,24,Oregon
2,Email + Call,c21cd0cf-c3ab-4e39-8ea0-da55f8f09bc5,11,NA,3,25,Louisiana
2,Email,8a0956d4-7197-49c1-bcb2-d0e05a82af45,10,101.48,1,26,Wisconsin
3,Call,456877b9-a608-4e14-b0eb-5de0e5bf3b97,8,40.49,2,23,New York
1,Call,fb6cae77-3dc9-4f56-b641-635c3a639311,7,33.63,2,21,California
4,Email + Call,15021289-1b44-4886-a80e-4937b7b25cd2,12,181.73,5,24,North Carolina
3,Call,fb7aff94-3fb0-40e1-b29d-a77bd1e2c513,8,40.41,2,23,Washington
1,Email,cbbcd14a-2dc7-4ba0-8bae-0061814422e3,9,86.29,0,25,Florida
4,Email + Call,0a791d8c-3abf-484f-be3d-51c5f4212268,12,178.99,2,30,New York
1,Email,4d30d822-2e21-4bbc-9017-bc3d039ead24,8,83.7,4,23,Florida
2,Email,fddf0d18-4f0b-4d28-b5f3-bb459fc9e0c4,10,96.02,4,23,Connecticut
1,Email,01f38916-c85e-4519-b93a-1d74601a547e,8,84.64,1,22,Louisiana
3,Email,75f65cdc-fa8e-4934-a8b7-2a34d142701c,9,91.37,4,26,Ohio
1,Email,90e4d4f7-75b1-45f1-b3c9-a67a365c3cdf,8,84.27,5,21,Florida
5,Email,7942fd4b-17bc-47ce-8e0d-2f5b8f007202,10,104.17,9,30,Wisconsin
6,Call,94e72aed-e24e-444e-b056-6cc1bef7c4f5,13,66.53,0,26,Illinois
1,Email,4df61750-eaf1-4295-96aa-eab077f04f7c,8,84.76,7,25,Indiana
4,Email,316d1ae4-b38a-4ac7-97a4-4abda8a9948c,11,110.57,4,28,Tennessee
6,Email + Call,10fa5dcd-7223-463e-8aba-4df870894d05,15,225.8,5,29,Oregon
1,Call,141b1a00-569a-40e3-9f30-4bce6d3026a0,7,34.98,3,18,Ohio
1,Email,c70b5e15-b2c9-4c4f-8013-5a715d8315bd,8,82.24,14,21,Maryland
4,Call,346a3fe3-233c-4814-9a7b-643fc1e78b0f,10,50.35,5,22,Ohio
2,Email,22ffd282-cea2-4b05-97bf-049d1a38edcd,10,98.09,13,25,Pennsylvania
5,Call,88e6863e-6f01-4ce4-a213-fabac3f4da0f,10,51.8,9,23,South Carolina
5,Email + Call,e15eedb5-ab5a-4fc9-b735-be57b8d0f9fe,12,184.17,5,23,Louisiana
4,Call,e370c2e4-2c78-4c6b-878d-6966e938848a,10,50.27,7,19,Texas
3,Call,147efd7c-e25b-45dd-abc2-6162b58165f1,8,40.9,2,24,New York
1,Call,df70fcd5-f314-456a-bbab-485426663bef,7,34.32,6,21,Mississippi
4,Call,b079836b-71cb-46d6-93de-464b99718ea1,10,50.44,1,29,New York
5,Email + Call,44275854-d501-4b59-89fe-52a013f09624,12,NA,6,25,Indiana
3,Email + Call,2b68ef02-8229-498d-b9f1-79fca3145453,10,NA,2,29,Illinois
5,Call,ea772258-b020-4477-a6f9-2aa7a0385872,10,52.27,1,27,Illinois
3,Email,3636c8c8-fec1-4725-abf6-bd3602e3d24f,11,112.72,4,24,California
4,Call,7d789f83-7b40-461a-b3c1-d7110b69ff54,10,51.62,0,25,Minnesota
1,Email + Call,45d4f6e4-cfbb-45bb-95e8-7f5476c46c7d,9,129.68,9,22,New Jersey
5,Call,b7a96c5a-cdea-445d-bed7-02ad0b3882de,11,53.16,19,25,Tennessee
1,Email,a0b8facb-0ed7-457b-a0a5-b3e6e5f365dd,8,83.36,4,17,Louisiana
3,Email,70636d4d-b39e-44a3-82a4-d11b88463bea,9,88.62,9,22,Pennsylvania
3,Email,a75bfa65-d465-4ea0-b5f2-7a34cb875373,9,93.86,0,27,Florida
2,Call,d7d2fb19-d5b1-4d93-95e6-e7b238ac05c2,9,46.56,0,28,Alabama
3,Email,7b7cc164-3305-471b-9130-e934b9622859,9,94.73,1,26,Ohio
3,Email,2af94b10-6d7c-4ec3-bdc3-bd1bcaa41829,10,95.19,3,27,Minnesota
4,Email + Call,ed81cf0e-9958-49d8-8eb7-f9eb89965663,12,176.95,4,24,Oklahoma
3,Email + Call,dc1f378d-59b1-47ca-9ec6-5a43f8c2f1fc,10,149.44,8,26,New York
4,Call,16f4f17c-2616-4ed0-9f56-5073f1b60751,10,49.9,1,26,Texas
2,Email,b9eafed8-da92-49df-b421-f4ac2e75c6e1,10,96.02,0,29,Colorado
4,Email + Call,43f0ef79-340d-4114-81a9-adca513d6073,12,NA,3,33,North Dakota
3,Call,affd3540-cd92-4072-8ec2-911bb69ecd9b,8,39.82,7,26,Arizona
3,Email + Call,a9021251-93c7-439c-915b-2e4c56fd2b2b,10,148.64,0,31,California
1,Email,677cf6fb-408b-4ea6-9ae5-47e083c74d84,9,86.22,7,27,New York
5,Call,ca31aa7a-d2b2-4abe-b0f2-e97f39f8a80b,10,51.93,3,24,California
6,Email + Call,80d4112b-0ed0-4bd6-98f4-69395158620e,15,225.34,1,30,Missouri
3,Email,4348bc02-c84f-4bab-be41-8f8176991a78,9,91.56,1,23,Texas
3,Email,78535ee0-4cdf-49e0-a062-71599f7580e6,9,93.02,2,28,Arizona
2,Email,7a73f123-b213-4898-8658-18d0f49079fa,10,96.16,3,21,Florida
1,Email,a7400b67-2744-435a-8588-8638c9422259,8,84.69,12,20,Illinois
1,Email,dcf86654-f3af-4401-9908-f264a206459c,9,91.2,2,21,Arkansas
3,Email + Call,a6f799a9-8bfc-4cc1-9982-b0cedad2e041,10,154.73,3,28,Oklahoma
2,Email,099ef545-7507-465e-b76c-c8375c2b901e,10,101.69,6,31,Ohio
3,Email + Call,06651469-f580-4501-959c-cca26e79d40d,10,146.05,6,27,Connecticut
4,Call,593f7b9b-5b00-4399-8cb5-fe7301e6b651,10,51.62,1,26,Florida
1,Email,96bd13f1-7686-42ac-a53b-05fa2e215cc9,8,84.19,8,24,Georgia
1,Email,9242386d-1629-4992-ba6c-0031ad0faece,9,87.71,1,23,Texas
5,Call,ec6f17c6-2d19-4b4e-bbfe-1a4d75705490,11,52.9,7,24,Ohio
4,Email,fa25d25f-bede-48c6-9d8e-1849053b92fc,11,113.15,0,26,New York
4,Email,3315bc7f-7969-4c2f-a70f-8e04881eaa7d,11,107.23,11,27,South Dakota
2,Call,ebf59189-b49e-4e95-be2e-21d974ceb903,9,45.47,5,23,California
4,Call,40651d32-d781-4046-b305-9ca67ce52edf,10,50.82,0,28,Louisiana
4,Email,726c4e22-be14-4967-9d97-255c203492df,10,103.78,5,26,North Carolina
1,Email,2d28eba7-c238-4f72-af52-e9d750019c3c,8,80.72,12,17,California
2,Email,969a4d7a-3dd1-47da-ac27-7ccec8780c7f,10,97.15,1,16,Tennessee
5,Email,03a468cb-0580-44c7-9d3e-7ed34348bdcc,12,117.27,6,26,Illinois
4,Email,d08924ce-63f7-4d54-ae31-b61b2b6fc6f1,11,105.09,7,33,California
5,Email,888c3daf-2711-4193-9790-7beb08d6bb4b,11,105.88,2,27,Oregon
4,Email,4a3df6bc-f6d6-4817-b92e-b6004393ca2e,10,NA,2,23,Delaware
1,Call,7a46232c-3e6c-45f6-9ce8-95ce1254620e,7,36.17,4,23,Maine
5,Email + Call,3ff068ba-dce0-4f5a-8db5-d0b646dde496,13,NA,7,29,Arizona
5,Email + Call,87d8fd9e-972c-42a1-8e9f-bcf584a95546,13,189.44,2,18,Washington
2,Email,e0ef62dc-3fb3-4dab-8728-ebc46d9bcf7b,10,100.96,10,25,New York
2,Email,725724cb-8198-44dc-9d8a-cc8b3b1a4a98,10,100.32,2,25,North Carolina
5,Call,57e3166f-ffc1-419c-ac34-546a445ddc9f,11,52.54,13,31,Utah
2,Call,6c782080-c905-4ac3-9fca-6141eab9ad99,9,44.72,2,23,Ohio
6,Email,17970949-590c-4820-9054-0a50ef0ec132,13,132.01,7,30,Florida
2,Email,7120f4c8-b67a-4c2b-8ac3-c64ef97a1541,10,98.94,2,25,Arizona
6,Email + Call,05fd932b-a3c9-4309-b042-18c17a755570,15,229.09,0,27,Virginia
4,Email,935f18e3-09d9-4037-b5e1-f1670925a169,11,109.48,6,27,California
1,Email,e4e20dc0-5d2e-4137-9876-18b056f4e98a,9,NA,7,21,West Virginia
6,Email + Call,3e7ed4a3-88ca-40af-b7bb-762684756905,15,NA,3,25,Ohio
2,Email,d79d8a5b-1b39-484a-b66b-e4754efea4fa,10,96.91,6,23,California
5,Call,395d5b65-8ad6-4cce-823e-6ef9804c3c62,11,52.76,7,29,California
1,Email,5dc0d19b-ce85-42d0-af80-b96eb7403c48,8,NA,5,23,New Jersey
2,Email,fb051d02-7a78-4fbb-8eb6-d6e18fd372c4,11,106.49,7,24,Missouri
5,Email + Call,9cd04708-a988-4965-976e-c2756bf49e8a,13,191.92,4,32,Texas
5,Call,57d672f9-64ce-49cf-a9a6-5b6f4c1524c2,10,51.33,3,26,Minnesota
1,Call,529405c0-6000-4e00-bb37-cc2cd25d96fd,7,34.45,3,24,New Jersey
1,Email,db7282cb-b9f9-4181-afe9-df5b66b4178b,9,90.36,12,26,Arizona
1,Email,14d36b29-c754-498e-8976-c692f1547fec,9,88.37,4,26,Illinois
1,Call,8312a913-9b85-40ec-9d38-344df9812389,7,36.62,3,22,North Carolina
3,Call,e2e5ea79-a9c2-493b-b1c5-7bdc8e943d4f,9,45.31,7,19,Pennsylvania
3,Email,3cb9bb2d-0f3f-48fb-bf72-a5143a5ac761,9,88.14,4,24,Arkansas
1,Email + Call,fbd8bd2c-0fea-4f43-b70d-85c51140f5a9,8,126.14,6,25,Pennsylvania
4,Email,8d520bdd-9d69-4997-86d7-4665fda938aa,11,110.87,2,24,California
1,Email + Call,172e0edd-099b-4b9d-9ef7-42c9a5ccc356,8,NA,3,24,Indiana
4,Email,30deb74f-3554-49ad-ba82-237cb2d1d442,10,103.74,12,27,Massachusetts
6,Email + Call,00dc7276-7b92-4642-9d24-69c841286964,16,232.86,1,33,Michigan
4,Call,5e334d76-5848-4a8c-bd83-c3d8b5ed5882,10,50.91,1,27,Maryland
3,Email,ff118198-284d-4bb9-a96b-0724d22e7cdf,9,90.44,0,21,Texas
2,Call,6e2bd470-774a-4842-a6e4-631670bf97ba,9,45.05,0,20,Virginia
4,Email + Call,5bbf0f55-2380-412e-8cd2-b0e1054c5a8e,12,179.35,3,29,Washington
1,Email,87172e81-91aa-4f17-b3b9-83de6c843508,8,83.28,0,24,North Carolina
4,Call,01c1f119-0dda-4c6b-ba9b-d4493318588e,10,50.28,5,26,Michigan
2,Email,73eb631c-ce71-459e-a2a0-85bd72bfce34,10,95.06,3,26,Arizona
5,Email + Call,87ae86c7-77f0-4030-9a21-b2945f137c18,12,186.86,13,29,Missouri
4,Email + Call,1eeb0889-9dc3-487a-b058-a13052fa6073,12,179.09,3,25,California
2,Email,e02f5cba-8e26-43ce-b209-53a1e2d9d62e,10,103.02,1,23,New York
4,Email + Call,524fc10b-2cf6-4749-80dc-88a8bd319fe0,12,181.34,2,30,Michigan
5,Call,d52c6f7e-0389-41e3-88ef-7a7ceb8de544,11,55.11,3,28,California
2,Call,cb324c10-5f6e-46b8-9d63-ff304cf8a57c,9,44.02,9,23,Pennsylvania
4,Call,1fc3e16f-c9cf-4fbd-856f-1182759ce335,10,52.47,3,30,Indiana
2,Email,20bcccc8-ecee-4e8c-b759-a8adf81f54db,11,105.69,2,29,Texas
5,Email + Call,a3a05924-d42a-42c4-9668-bf7674d29853,12,184.15,0,28,Florida
3,Email,a3780d32-2e68-4488-8583-99cd871881ac,9,93.92,6,24,California
3,Email,3c7bf6ed-7e16-4b86-a323-5b766ec1f605,9,90.41,3,22,Minnesota
3,Email,8fe729bf-055f-4dc5-93ff-67d152e5b948,9,89.07,0,23,Alabama
1,Email,8feb419a-c257-4b36-ae11-c2b19c932887,9,91.92,4,22,Oklahoma
1,Email,e5e4a644-7bcb-46bb-bb0c-dd9e05ad0fbd,9,85.56,4,25,Ohio
5,Email + Call,06e707a4-f153-467f-8ded-e40e6728edf9,13,188.61,0,26,Texas
1,Email,cdea9eeb-3bdb-4f1f-885b-2d990d5c776d,9,87.07,5,19,Florida
1,Email,804e51f4-5582-4c8a-bc17-bd59b3e7326d,8,81.99,3,22,Virginia
5,Email,7a0927cc-a3f0-4d57-a9a4-1235a409d2fc,10,NA,1,25,New York
2,Call,0fc21cec-5dca-4f3d-8f4f-d1d4ba27c5fb,9,44.12,6,22,Illinois
1,Email,05447b3b-ecb1-423d-8d17-a714256e681b,8,82.34,10,20,Texas
4,Call,edca7e82-7163-4f33-a797-cd2871146410,10,52.31,2,26,California
3,Call,4e6214e1-2e96-403b-b1d8-0d6127870843,8,41.75,2,28,Alabama
1,Email,dfa93a37-64fd-4500-aac6-f6e38b8e96f6,8,81.89,2,20,North Carolina
4,Email,7f904439-eaf4-4ba3-a6ea-9e9806b93433,11,107.74,1,28,West Virginia
4,Email,86c64fc1-71a9-48a3-826a-dd9a16eac468,11,107.92,30,24,Arizona
1,Email,d6c1e0b1-25d3-4e21-ab26-7a813e25f46f,9,90.49,2,23,California
3,Email,e192c54a-93c6-4a95-870d-3c6484d22b27,9,93.1,1,23,New York
4,Email,a8b1712c-3af1-4749-9372-3252599fdd41,12,116.06,1,24,California
1,Email,73d688d3-aa3d-4838-8a0f-312fddfebf85,9,87.56,7,27,California
6,Email + Call,67f8358b-d544-4da4-98b0-19cdeb3eeb18,15,228.07,0,25,Illinois
1,Email,c7d03668-b7b7-4a1e-bd54-16b7622adb3f,8,82.56,5,25,Ohio
4,Call,b234dc12-09b9-4aba-b6fc-e8eb18afb987,10,51.93,3,21,Georgia
3,Email,648d8093-629a-4a57-aa66-6e00a21e5703,9,91.59,6,25,Utah
5,Email,f2aabbef-2959-4b21-ae47-3154e2ca6e39,11,112.96,0,28,Washington
3,Call,96900ddb-c594-44d6-bc8b-3ae2c9a4e153,8,40.54,2,25,Mississippi
1,Email,2f186311-17d3-4c57-8f78-254b629eecc6,8,83,1,25,California
4,Call,89a761ec-5247-4a9d-91b1-7db07789475d,11,53.57,0,26,Arizona
1,Call,800a5e2d-e6da-4326-9895-f7a468d27c71,7,36.61,1,21,Michigan
3,Call,d6184f2f-e8f7-454f-9391-acba3392c807,8,41,6,27,Tennessee
3,Call,82b7c790-f862-469b-99f7-db4ca2a037bf,8,40.66,1,23,Pennsylvania
1,Email,ba28289e-e948-441d-a629-b6e14f0a2c59,9,85.2,5,19,Louisiana
4,Email + Call,34017556-2d3a-4d44-8be7-3958a1dacba8,12,176.67,1,28,New York
1,Call,a7dc9f77-3bee-48b4-8f48-b6a517780d41,7,34.06,9,17,Michigan
3,Email,9aae5d55-d8eb-460b-a5fb-5e866fbd9302,9,88.6,6,27,New York
3,Email,f362d30b-4816-43bc-9361-49ccfd120786,9,92.7,2,23,Ohio
1,Email,bd220744-bb66-4c37-84e1-032ee5c1d8d5,9,NA,9,21,North Carolina
5,Call,6a779ddd-ec5b-44c0-b0ec-24143425a7b0,11,53.27,3,22,Maryland
3,Call,190fd31e-22f3-4221-a3f9-973188ae1f1a,9,44.15,5,27,Massachusetts
6,Call,b5f0f34c-f466-4033-9270-f2d1a98b2258,13,67.2,2,32,Minnesota
1,Call,7ee22fe6-4cff-4638-bc3f-dd78c2f470c0,7,35.31,0,25,California
2,Email,0eb3e785-051f-4a73-8bb4-b512793a570a,11,111.75,9,24,Texas
1,Email,4fed47d8-5998-4090-ae32-1e767d38ea58,8,82.35,10,23,Oklahoma
6,Call,788d6dde-00cf-4a78-9330-8b39ee0e2432,13,64.84,0,30,California
2,Email,1f603d81-f63f-4c3a-a3ce-6475ae30cee3,10,99.22,0,23,New York
3,Email,d5ce7d13-fb86-4f09-a7ef-a427da89da8f,10,96.29,0,26,Washington
1,Email,37dc507b-0cbf-417d-b43b-30abac55ed78,8,83.56,3,23,Mississippi
6,Call,0725da8b-0df4-499f-869d-c7ad609610b7,13,64.97,5,27,California
3,Call,5253dfc6-832c-450b-a574-cfe1926cf74d,8,41.18,2,25,Ohio
2,Call,8fb4542a-2640-49a8-b53c-cecd6a324ec5,8,41.3,3,26,California
1,Email,62a11f21-4c6d-47a6-8c23-f73e9f4fdc5b,10,96.06,1,30,Illinois
5,Email + Call,71165486-5110-4a29-a6b4-ec02fab1e72e,12,185.9,6,29,Texas
6,Email + Call,7d008268-caac-4403-8604-c0c961d95ef5,15,NA,5,36,North Carolina
3,Email,426217cb-b36a-44ca-95d5-1545775eaab9,9,91.46,4,22,New Jersey
4,Call,63d6f945-a5c4-40bc-ae81-cdc9a30fbd03,10,50.9,3,24,Illinois
2,Email,2f0144b8-c30e-4520-b64a-bd3ffa85acfd,10,98.22,1,29,Alabama
5,Email,5988f0c0-c0b5-47b4-8a96-f138f5772c13,11,105.66,4,23,Georgia
4,Email + Call,67c3f587-6b78-4fb8-bb85-c3fc08e3a72c,12,182.25,10,25,Washington
6,Email + Call,498f452b-c7dd-476b-8ae2-2b410abb9ab6,15,231.94,3,26,New York
5,Call,190d14e9-6e5c-4f89-b1c1-53e595ef7e76,11,52.68,12,28,Minnesota
3,Email,671a5412-44cb-40c8-9f9c-b90de43d3e6c,9,91.57,9,21,New Jersey
2,Call,7e3019cf-d23c-4304-9763-ed9f8ef57e54,9,44.56,2,31,Iowa
6,Call,49204efd-ee2e-4712-b614-3aa1ca03c2ed,13,65.86,11,34,New Jersey
